date,sbi_tt_sell
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
03/04/2025,86.15
04/04/2025,85.5
04/04/2025,85.5
04/04/2025,85.5
04/04/2025,85.5
04/04/2025,85.5
04/04/2025,85.5
04/04/2025,85.5
04/04/2025,85.5
04/04/2025,85.5
04/04/2025,85.5
04/04/2025,85.5
04/04/2025,85.5
04/04/2025,85.5
04/04/2025,85.5
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
05/04/2025,85.95
07/04/2025,86.15
07/04/2025,86.15
07/04/2025,86.15
07/04/2025,86.15
08/04/2025,86.33
08/04/2025,86.33
08/04/2025,86.33
08/04/2025,86.33
